date,CEPU,EPU
1949-10,87.2,
1949-11,40.5,
1949-12,40.1,
1950-01,39.4,
1950-02,200.5,
1950-03,87.4,
1950-04,173.3,
1950-05,90.3,
1950-06,668.9,
1950-07,266.8,
1950-08,225.8,
1950-09,186.5,
1950-10,251.7,
1950-11,186.8,
1950-12,152.5,
1951-01,108,
1951-02,327.7,
1951-03,213.6,
1951-04,423.8,
1951-05,97.6,
1951-06,249.8,
1951-07,324.5,
1951-08,111.5,
1951-09,399.3,
1951-10,525.1,
1951-11,612,
1951-12,436.7,
1952-01,509.7,
1952-02,358.1,
1952-03,359.5,
1952-04,232.5,
1952-05,55,
1952-06,117,
1952-07,104.9,
1952-08,51.5,
1952-09,293.7,
1952-10,146,
1952-11,133.3,
1952-12,312.2,
1953-01,612.7,
1953-02,789.1,
1953-03,262.1,
1953-04,550.4,
1953-05,454.8,
1953-06,552.7,
1953-07,466.5,
1953-08,118.3,
1953-09,200.6,
1953-10,573.2,
1953-11,264.7,
1953-12,319.9,
1954-01,66,
1954-02,210.8,
1954-03,434.7,
1954-04,234.4,
1954-05,160.4,
1954-06,174.6,
1954-07,154,
1954-08,49.9,
1954-09,524.7,
1954-10,111.2,
1954-11,204.6,
1954-12,268.9,
1955-01,150.8,
1955-02,73.5,
1955-03,0,
1955-04,102.2,
1955-05,147.3,
1955-06,263.7,
1955-07,677.3,
1955-08,210.7,
1955-09,114.2,
1955-10,112.8,
1955-11,221,
1955-12,0,
1956-01,172.2,
1956-02,250.9,
1956-03,105.1,
1956-04,130.2,
1956-05,42.9,
1956-06,265.2,
1956-07,43,
1956-08,83.5,
1956-09,268.9,
1956-10,0,
1956-11,68.3,
1956-12,289.5,
1957-01,326,
1957-02,0,
1957-03,118.9,
1957-04,32.4,
1957-05,583.3,
1957-06,219.5,
1957-07,141.8,
1957-08,0,
1957-09,273.5,
1957-10,0,
1957-11,0,
1957-12,140.5,
1958-01,0,
1958-02,132.3,
1958-03,99.9,
1958-04,94.8,
1958-05,112.6,
1958-06,56,
1958-07,24.3,
1958-08,53,
1958-09,0,
1958-10,0,
1958-11,32.2,
1958-12,0,
1959-01,69.6,
1959-02,171.5,
