"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","01","Live animals","A","Annual","A","Annual","USD","US$","2002","","","","12255788"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","01","Live animals","A","Annual","A","Annual","USD","US$","2003","","","","17209914"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","01","Live animals","A","Annual","A","Annual","USD","US$","2004","","","","2562250"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","01","Live animals","A","Annual","A","Annual","USD","US$","2005","","","","16731764"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","01","Live animals","A","Annual","A","Annual","USD","US$","2006","","","","17785139"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","01","Live animals","A","Annual","A","Annual","USD","US$","2007","","","","19004264"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","01","Live animals","A","Annual","A","Annual","USD","US$","2008","","","","41501431"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","01","Live animals","A","Annual","A","Annual","USD","US$","2009","","","","33023509"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","01","Live animals","A","Annual","A","Annual","USD","US$","2010","","","","34233054"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","01","Live animals","A","Annual","A","Annual","USD","US$","2011","","","","53690866"
