year,month,EPU
2005,12,173.9302467
2006,01,150.4201103
2006,02,761.6027326
2006,03,439.710425
2006,04,246.6646313
2006,05,96.25914741
2006,06,178.4855252
2006,07,92.7651985
2006,08,301.7153433
2006,09,375.1023838
2006,10,203.9108792
2006,11,124.9747185
2006,12,402.9810006
2007,01,186.9047887
2007,02,156.8801903
2007,03,426.631432
2007,04,84.61929897
2007,05,142.9871325
2007,06,146.892198
2007,07,184.4536812
2007,08,212.7047411
2007,09,150.020767
2007,10,458.6396656
2007,11,279.9701504
2007,12,284.5801434
2008,01,190.4670935
2008,02,357.9181485
2008,03,1184.939545
2008,04,166.7737739
2008,05,124.342305
2008,06,258.8481747
2008,07,253.951972
2008,08,125.19825
2008,09,237.9749199
2008,10,298.1379034
2008,11,243.0534193
2008,12,345.3450945
2009,01,674.2161481
2009,02,228.7691793
2009,03,570.8503972
2009,04,235.0839928
2009,05,367.9160771
2009,06,374.2713058
2009,07,258.4502426
2009,08,255.3669453
2009,09,427.1496293
2009,10,396.2890569
2009,11,308.761242
2009,12,229.2173503
2010,01,332.2515281
2010,02,172.4520741
2010,03,558.7356383
2010,04,354.8502977
2010,05,222.9213996
2010,06,352.7574268
2010,07,255.6662909
2010,08,383.9861523
2010,09,278.6293076
2010,10,272.8379502
2010,11,361.1761721
2010,12,337.8722284
2011,01,443.8269376
2011,02,171.0329824
2011,03,730.8020593
2011,04,612.9560944
2011,05,535.8937555
2011,06,644.121597
2011,07,748.8457102
2011,08,348.8807132
2011,09,412.7898561
2011,10,326.7320562
2011,11,343.702522
2011,12,331.7685912
2012,01,315.5391525
2012,02,261.5665124
2012,03,506.447034
2012,04,312.9012072
2012,05,333.8439824
2012,06,290.7977102
2012,07,497.023178
2012,08,243.1818021
2012,09,291.8703589
2012,10,494.6459517
2012,11,502.7492989
2012,12,392.6476759
2013,01,208.7209876
2013,02,160.8207754
2013,03,291.9775492
2013,04,299.6990196
2013,05,249.8691383
2013,06,265.9829544
2013,07,286.9931135
2013,08,224.0723629
2013,09,354.9258922
2013,10,285.633796
2013,11,267.0917442
2013,12,320.9547315
2014,01,321.4967127
2014,02,162.938637
2014,03,516.6832944
2014,04,296.7257157
2014,05,424.030619
2014,06,288.3358861
2014,07,403.2137028
2014,08,279.2321056
2014,09,548.7824399
2014,10,249.2362227
2014,11,376.540311
2014,12,370.1719904
2015,01,307.1886296
2015,02,286.2742477
2015,03,656.0314416
2015,04,209.2967148
2015,05,356.2401909
2015,06,473.395049
2015,07,567.8264463
2015,08,295.9791852
2015,09,599.3261047
2015,10,422.9348327
2015,11,451.4381654
2015,12,450.1233016
2016,01,538.2847967
2016,02,409.1243017
2016,03,768.5158682
2016,04,454.9219767
2016,05,685.3717807
2016,06,1082.038498
2016,07,407.7186771
2016,08,311.8979796
2016,09,489.6920318
2016,10,379.4478968
2016,11,409.7596848
2016,12,405.5181297
2017,01,639.8996398
2017,02,236.6689454
2017,03,629.9363397
2017,04,321.6315735
2017,05,236.01013
2017,06,225.9935276
2017,07,490.5274861
2017,08,310.0137838
2017,09,600.1446558
2017,10,1595.948525
2017,11,345.5252433
2017,12,387.9245536
2018,01,362.6104696
2018,02,348.9684386
2018,03,849.161177
2018,04,403.2539158
2018,05,222.5735484
2018,06,334.4062985
2018,07,626.1740799
2018,08,357.9150798
2018,09,813.8090196
2018,10,1053.050595
2018,11,583.4202006
2018,12,2787.62825
2019,01,305.3065538
2019,02,906.3820702
2019,03,1946.166069
2019,04,345.2680861
2019,05,458.8818122
2019,06,660.5891147
2019,07,657.7361499
2019,08,510.5654104
