year,month,Renmin_EPU,EPU
1949,10,87.2,
1949,11,40.5,
1949,12,40.1,
1950,1,39.4,
1950,2,200.5,
1950,3,87.4,
1950,4,173.3,
1950,5,90.3,
1950,6,668.9,
1950,7,266.8,
1950,8,225.8,
1950,9,186.5,
1950,10,251.7,
1950,11,186.8,
1950,12,152.5,
1951,1,108,
1951,2,327.7,
1951,3,213.6,
1951,4,423.8,
1951,5,97.6,
1951,6,249.8,
1951,7,324.5,
1951,8,111.5,
1951,9,399.3,
1951,10,525.1,
1951,11,612,
1951,12,436.7,
1952,1,509.7,
1952,2,358.1,
1952,3,359.5,
1952,4,232.5,
1952,5,55,
1952,6,117,
1952,7,104.9,
1952,8,51.5,
1952,9,293.7,
1952,10,146,
1952,11,133.3,
1952,12,312.2,
1953,1,612.7,
1953,2,789.1,
1953,3,262.1,
1953,4,550.4,
1953,5,454.8,
1953,6,552.7,
1953,7,466.5,
1953,8,118.3,
1953,9,200.6,
1953,10,573.2,
1953,11,264.7,
1953,12,319.9,
1954,1,66,
1954,2,210.8,
1954,3,434.7,
1954,4,234.4,
1954,5,160.4,
1954,6,174.6,
1954,7,154,
1954,8,49.9,
1954,9,524.7,
1954,10,111.2,
1954,11,204.6,
1954,12,268.9,
1955,1,150.8,
1955,2,73.5,
1955,3,0,
1955,4,102.2,
1955,5,147.3,
1955,6,263.7,
1955,7,677.3,
1955,8,210.7,
1955,9,114.2,
1955,10,112.8,
1955,11,221,
1955,12,0,
1956,1,172.2,
1956,2,250.9,
1956,3,105.1,
1956,4,130.2,
1956,5,42.9,
1956,6,265.2,
1956,7,43,
1956,8,83.5,
1956,9,268.9,
1956,10,0,
1956,11,68.3,
1956,12,289.5,
1957,1,326,
1957,2,0,
1957,3,118.9,
1957,4,32.4,
1957,5,583.3,
1957,6,219.5,
1957,7,141.8,
1957,8,0,
1957,9,273.5,
1957,10,0,
1957,11,0,
1957,12,140.5,
1958,1,0,
1958,2,132.3,
1958,3,99.9,
1958,4,94.8,
1958,5,112.6,
1958,6,56,
1958,7,24.3,
1958,8,53,
1958,9,0,
1958,10,0,
1958,11,32.2,
1958,12,0,
1959,1,69.6,
